Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1924,10,,,,,,,,Silence,"<i>The Dial 77</i>, p. 290
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 309",,,,,,,
1924,11,,,,,,,,Sea Unicorns and Land Unicorns,"<i>The Dial 77</i>, p. 411-13
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 321",,,,,,,
1924,12,,,,,,,,An Octopus,"<i>The Dial 77</i>, p. 475-81
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 312",,,,,,,
1924,,,,,,,,,"An Egyptian Pulled Glass Bottle in the Shape 
of a Fish","<i>Observations (New York:
Dial Press</i>, p. 1924)</i>, p. 20
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 62",,,,,,,
1924,,,,,,,,,To a Snail,"<i>Observations (New York: Dial Press</i>, p. 1924)</i>, p. 23
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 65",,,,,,,
1924,,,,,,,,,"""The Bricks Are Fallen Down</i>, p. We Will Build with
Hewn Stones. The Sycamores Are Cut Down</i>, p. We
Will Change to Cedars.""","<i>Observations (New York: Dial Press</i>, p. 1924)</i>, p. 24
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 66",,,,,,,
1924,,,,,,,,,"""Nothing Will Cure the Sick Lion but to Eat 
an Ape""","<i>Observations (New York: Dial Press</i>, p. 1924)</i>, p. 26
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 68",,,,,,,
1924,,,,,,,,,Peter,"<i>Observations (New York: Dial Press</i>, p. 1924)</i>, p. 51-52
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 93",,,,,,,
1925,,,,1929,,,,,Becomes editor of <i>The Dial</i>,,,,,,,,#3289C7
1925,1,,,,,,,,The Monkey Puzzler,"<i>The Dial 78</i>, p. 8
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 43-44",,,,,,,
1929,,,,,,,,,Wall Street stock market crashes; <i>Dial</i> closes,"""Wall Street stock market crashes; Dial closes""",,,,,,,#3289C7
1930,,,,,,,,,Moves with mother to Brooklyn,,,,,,,,#3289C7
1932,,,,,,,,,Old Tiger,"<i>Profile: An Anthology 
Collected in MCMXXXI</i>, p.
ed. Ezra Pound (Milan: 
John Scheiwiller</i>, p. 1932)</i>, p. 61-64
Soource: A-Quiver with Significance</i>, p. 45-49",,,,,,,
1932,6,,,,,,,,The Steeple Jack,"<i>Poetry 40</i>, p. 119-122
</i><br/><br/>Other appearances: <i> Selected Poems (1935)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 50-53</i>, p. 60",,,,,,,
1932,6,,,,,,,,The Student,"<i>Poetry 40</i>, p. 122-126
</i><br/><br/>Other appearances: <i>
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 53-57</i>, p. 61",,,,,,,
1932,6,,,,,,,,The Hero,"<i>Poetry 40</i>, p. 126-128
</i><br/><br/>Other appearances: <i> Selected Poems (1935)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 57-59</i>, p. 61",,,,,,,
1932,10,,,,,,,,No Swan So Fine,"<i>Poetry 41</i>, p. 7
</i><br/><br/>Other appearances: <i> Selected Poems (1935)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 62-63",,,,,,,
1932,,,,,,,,October-December,The Jebora,"<i>Hound & Horn 6</i>, p. 108-113
</i><br/><br/>Other appearances: <i> Selected Poems (1935)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 64-70",,,,,,,
1933,,,,,,,,,Camellia Sabina,"<i>Active Anthology</i>, p. ed. Ezra Pound (London: Faber and Faber</i>, p. 1933)</i>, p. 189-191
</i><br/><br/>Other appearances: <i> Selected Poems (1935)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 71-74",,,,,,,
1933,,,,,,,,October-December,The Plumet Basilisk,"<i>Hound & Horn 7</i>, p. 29-34
</i><br/><br/>Other appearances: <i> Selected Poems (1935)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 75-82",,,,,,,
1934,7,,,,,,,,The Frigate Pelican,"<i>Criterion 13</i>, p. 557-560
</i><br/><br/>Other appearances: <i> Selected Poems (1935)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 83-87",,,,,,,
1934,11,,,,,,,,The Buffalo,"<i>Poetry 45</i>, p. 61-64
</i><br/><br/>Other appearances: <i> Selected Poems (1935)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 88-91</i>, p. 95",,,,,,,
